kommune_kode,kommune_navn,slug,grade,composite,kollektiv_kvalitet,bevaegelsesfrihed,bilbehov,bil_skat_kr,tvunget_andel,valgt_andel,gini,p10,cdi,o_pt,o_car,reach_ratio,unserved_pct
336,Stevns,dk-stevns-0336,E,26.38,1.96,50.79,0.9776,60000,0.238,0.4923,0.3153,10.03,0.4921,0.3311,0.8967,2.26,21.3
340,Sorø,dk-soroe-0340,E,29.82,4.35,55.29,0.7537,60000,0.176,0.5245,0.3484,3.32,0.4471,0.6493,1.5187,1.99,16
350,Lejre,dk-lejre-0350,D,30.31,3.0,57.62,0.7458,60000,0.1739,0.5256,0.2228,19.26,0.4238,0.4693,1.0921,2.12,24.5
360,Lolland,dk-lolland-0360,E,23.67,2.02,45.32,1.1494,60000,0.2886,0.4647,0.5115,1.33,0.5468,0.339,1.0347,2.3,19.5
370,Næstved,dk-naestved-0370,E,29.32,5.78,52.85,0.8522,60000,0.2027,0.5109,0.3545,3.77,0.4715,0.8401,2.0935,2.15,19.2
376,Guldborgsund,dk-guldborgsund-0376,F,20.45,2.62,38.28,1.3522,60000,0.3517,0.4286,0.5285,1.1,0.6172,0.4193,1.4893,2.78,25.2
390,Vordingborg,dk-vordingborg-0390,F,19.2,2.08,36.31,1.48,60000,0.3934,0.404,0.4564,2.1,0.6369,0.3474,1.3668,3.22,30.4
400,Bornholm,dk-bornholm-0400,E,28.12,4.0,52.24,0.895,60000,0.2146,0.5047,0.3765,4.71,0.4776,0.6024,1.544,2.07,9.4
410,Middelfart,dk-middelfart-0410,F,21.33,2.94,39.72,1.3928,60000,0.3648,0.4209,0.3983,3.08,0.6028,0.462,1.6939,3.21,9.3
420,Assens,dk-assens-0420,F,19.41,2.57,36.26,1.5531,120000,0.4178,0.3893,0.3808,2.6,0.6374,0.4118,1.7228,3.42,17.7
430,Faaborg-Midtfyn,dk-faaborg-midtfyn-0430,G,14.41,3.58,25.25,1.9885,120000,0.5734,0.2917,0.451,2.73,0.7475,0.5474,3.5113,5.16,20.9
440,Kerteminde,dk-kerteminde-0440,E,24.68,1.73,47.63,1.1092,60000,0.2765,0.4714,0.3034,6.5,0.5237,0.3,0.8901,2.66,26.2
450,Nyborg,dk-nyborg-0450,D,30.65,3.31,57.99,0.6958,60000,0.1607,0.5321,0.2663,13.82,0.4201,0.5113,1.1529,2.02,20
461,Odense,dk-odense-0461,C,49.77,27.4,72.14,0.2097,0,0.0439,0.5841,0.1269,47.36,0.2786,3.7184,6.2765,1.68,18.4
479,Svendborg,dk-svendborg-0479,D,34.09,7.94,60.25,0.5541,60000,0.1245,0.5494,0.3203,4.32,0.3975,1.1272,2.3293,1.83,14.4
480,Nordfyns,dk-nordfyns-0480,G,14.84,2.76,26.93,1.8308,120000,0.5151,0.329,0.5655,1.7,0.7307,0.4375,2.3691,4.1,30.6
482,Langeland,dk-langeland-0482,F,17.45,2.44,32.46,1.5324,120000,0.4108,0.3935,0.5386,2.02,0.6754,0.3946,1.6221,3.02,22.3
492,Ærø,dk-aeroe-0492,D,31.7,0.45,62.94,0.4754,0,0.1051,0.5583,0.2961,15.16,0.3706,0.1304,0.2569,1.62,37
510,Haderslev,dk-haderslev-0510,F,21.37,3.52,39.22,1.4076,60000,0.3696,0.4181,0.4649,2.11,0.6078,0.5385,1.9978,3.02,19.6
530,Billund,dk-billund-0530,F,19.38,1.37,37.38,1.4468,60000,0.3824,0.4105,0.5381,1.23,0.6262,0.2524,0.9663,2.74,38.2
540,Sønderborg,dk-soenderborg-0540,E,29.78,6.7,52.85,0.8397,60000,0.1993,0.5127,0.336,3.73,0.4715,0.962,2.3778,2.22,17.3
550,Tønder,dk-toender-0550,G,10.57,0.65,20.49,2.153,120000,0.6366,0.2504,0.5687,0,0.7951,0.1561,1.2263,5.07,30.1
561,Esbjerg,dk-esbjerg-0561,D,37.36,13.76,60.96,0.524,60000,0.117,0.5529,0.3535,2.24,0.3904,1.9019,3.8591,1.84,15.4
563,Fanø,dk-fanoe-0563,D,35.73,0.25,71.21,0.2326,0,0.0489,0.5821,0.2179,25.62,0.2879,0.1036,0.1772,1.65,
573,Varde,dk-varde-0573,G,8.9,1.81,16.0,2.2871,120000,0.6899,0.215,0.6263,0.8,0.84,0.3116,2.9667,6.35,36.1
575,Vejen,dk-vejen-0575,F,15.28,2.23,28.33,1.8097,120000,0.5075,0.3338,0.5687,1.3,0.7167,0.3672,1.9468,3.67,27.5
580,Aabenraa,dk-aabenraa-0580,F,17.4,2.28,32.52,1.6771,120000,0.4604,0.3632,0.4807,1.76,0.6748,0.3744,1.7482,3.69,16.8
607,Fredericia,dk-fredericia-0607,D,36.51,6.01,67.01,0.4098,0,0.0894,0.5652,0.1491,36.14,0.3299,0.8708,1.6505,1.84,12.4
615,Horsens,dk-horsens-0615,E,24.87,8.86,40.88,1.3691,60000,0.3571,0.4254,0.3619,2.93,0.5912,1.2504,4.4997,3.29,11.9
621,Kolding,dk-kolding-0621,D,31.68,8.85,54.51,0.7644,60000,0.1789,0.5231,0.3712,2.3,0.4549,1.249,2.9411,2.09,15
630,Vejle,dk-vejle-0630,E,24.48,8.3,40.66,1.2997,60000,0.335,0.4383,0.4896,1.09,0.5934,1.175,4.0078,2.86,15.8
657,Herning,dk-herning-0657,F,19.23,6.03,32.43,1.6485,120000,0.4505,0.3693,0.6051,0.52,0.6757,0.8729,3.9713,3.53,18
661,Holstebro,dk-holstebro-0661,F,18.91,4.27,33.56,1.571,120000,0.4239,0.3856,0.5633,1.06,0.6644,0.6385,2.7126,3.36,42.8
665,Lemvig,dk-lemvig-0665,F,15.1,0.7,29.5,1.7857,120000,0.4989,0.3392,0.4763,2.49,0.705,0.1632,0.8448,3.58,34.8
671,Struer,dk-struer-0671,E,27.71,1.57,53.86,0.781,60000,0.1833,0.5208,0.4056,5.14,0.4614,0.2796,0.6654,1.92,17.9
706,Syddjurs,dk-syddjurs-0706,F,18.62,8.07,29.18,1.6822,120000,0.4622,0.3621,0.574,1.52,0.7082,1.1446,5.3698,3.73,40.4
707,Norddjurs,dk-norddjurs-0707,G,12.94,1.57,24.3,1.9868,120000,0.5728,0.2921,0.578,1.41,0.757,0.279,1.7863,4.87,28.5
710,Favrskov,dk-favrskov-0710,E,23.54,5.87,41.2,1.333,60000,0.3456,0.4322,0.3827,3.58,0.588,0.852,2.9813,3.1,18.8
727,Odder,dk-odder-0727,E,25.36,1.25,49.46,1.0368,60000,0.2551,0.4831,0.3209,8,0.5054,0.236,0.6654,2.38,11.5
730,Randers,dk-randers-0730,D,32.95,8.38,57.52,0.6999,60000,0.1618,0.5316,0.3311,3.67,0.4248,1.1866,2.6826,2.05,8.4
740,Silkeborg,dk-silkeborg-0740,E,27.87,8.42,47.32,1.0215,60000,0.2507,0.4855,0.4407,1.68,0.5268,1.1909,3.3235,2.38,15
741,Samsø,dk-samsoe-0741,E,22.36,0.21,44.51,1.2041,60000,0.3053,0.4553,0.3302,8.66,0.5549,0.0979,0.3111,2.49,29.7
