kommune_kode,kommune_navn,klima_landbrug,klima_energi,klima_transport,energiforbrug,ve_selvforsyning,year
791,Viborg,5.1242,1.9666,1.8877,95.353,38.1235,2023
810,Brønderslev,7.4012,1.117,2.1251,95.493,118.036,2023
813,Frederikshavn,1.4987,5.4507,1.0198,130.411,26.4109,2023
820,Vesthimmerlands,13.1242,1.909,1.3995,116.9372,136.9366,2023
825,Læsø,-9.9608,2.6533,1.9087,133.4257,52.2611,2023
840,Rebild,11.0834,1.4718,4.1398,119.9726,70.474,2023
846,Mariagerfjord,6.2025,3.0768,2.5386,154.1087,68.3601,2023
849,Jammerbugt,7.0536,1.2319,1.7468,91.4705,209.0241,2023
851,Aalborg,1.9451,7.6755,1.4015,122.6813,22.8427,2023
860,Hjørring,5.9989,3.1145,1.2957,114.3744,64.9087,2023
