kommune_kode,kommune_navn,indicator_id,ratio,raw_value,unit,data_year,source,category,dimension,reference
430,Faaborg-Midtfyn,life_expectancy,100.0,81.6,år,2021-2025,DST HISBK,social,sundhed,81.6
320,Faxe,life_expectancy,99.39,81.1,år,2021-2025,DST HISBK,social,sundhed,81.6
169,Høje-Taastrup,life_expectancy,100.12,81.7,år,2021-2025,DST HISBK,social,sundhed,81.6
573,Varde,life_expectancy,100.74,82.2,år,2021-2025,DST HISBK,social,sundhed,81.6
621,Kolding,life_expectancy,100.49,82.0,år,2021-2025,DST HISBK,social,sundhed,81.6
420,Assens,life_expectancy,99.02,80.8,år,2021-2025,DST HISBK,social,sundhed,81.6
580,Aabenraa,life_expectancy,99.88,81.5,år,2021-2025,DST HISBK,social,sundhed,81.6
787,Thisted,life_expectancy,98.9,80.7,år,2021-2025,DST HISBK,social,sundhed,81.6
756,Ikast-Brande,life_expectancy,100.12,81.7,år,2021-2025,DST HISBK,social,sundhed,81.6
461,Odense,life_expectancy,99.88,81.5,år,2021-2025,DST HISBK,social,sundhed,81.6
779,Skive,life_expectancy,99.88,81.5,år,2021-2025,DST HISBK,social,sundhed,81.6
450,Nyborg,life_expectancy,99.63,81.3,år,2021-2025,DST HISBK,social,sundhed,81.6
846,Mariagerfjord,life_expectancy,99.75,81.4,år,2021-2025,DST HISBK,social,sundhed,81.6
820,Vesthimmerlands,life_expectancy,99.14,80.9,år,2021-2025,DST HISBK,social,sundhed,81.6
540,Sønderborg,life_expectancy,100.12,81.7,år,2021-2025,DST HISBK,social,sundhed,81.6
400,Bornholm,life_expectancy,99.14,80.9,år,2021-2025,DST HISBK,social,sundhed,81.6
510,Haderslev,life_expectancy,100.0,81.6,år,2021-2025,DST HISBK,social,sundhed,81.6
671,Struer,life_expectancy,99.26,81.0,år,2021-2025,DST HISBK,social,sundhed,81.6
665,Lemvig,life_expectancy,99.75,81.4,år,2021-2025,DST HISBK,social,sundhed,81.6
707,Norddjurs,life_expectancy,99.14,80.9,år,2021-2025,DST HISBK,social,sundhed,81.6
330,Slagelse,life_expectancy,98.65,80.5,år,2021-2025,DST HISBK,social,sundhed,81.6
306,Odsherred,life_expectancy,98.53,80.4,år,2021-2025,DST HISBK,social,sundhed,81.6
575,Vejen,life_expectancy,100.25,81.8,år,2021-2025,DST HISBK,social,sundhed,81.6
376,Guldborgsund,life_expectancy,97.3,79.4,år,2021-2025,DST HISBK,social,sundhed,81.6
849,Jammerbugt,life_expectancy,99.63,81.3,år,2021-2025,DST HISBK,social,sundhed,81.6
326,Kalundborg,life_expectancy,98.41,80.3,år,2021-2025,DST HISBK,social,sundhed,81.6
390,Vordingborg,life_expectancy,97.92,79.9,år,2021-2025,DST HISBK,social,sundhed,81.6
550,Tønder,life_expectancy,98.77,80.6,år,2021-2025,DST HISBK,social,sundhed,81.6
360,Lolland,life_expectancy,96.32,78.6,år,2021-2025,DST HISBK,social,sundhed,81.6
482,Langeland,life_expectancy,99.26,81.0,år,2021-2025,DST HISBK,social,sundhed,81.6
201,Allerød,selvvurderet_helbred,104.18,85.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
153,Brøndby,selvvurderet_helbred,92.0,75.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
175,Rødovre,selvvurderet_helbred,101.87,83.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
155,Dragør,selvvurderet_helbred,102.48,84.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
190,Furesø,selvvurderet_helbred,104.43,85.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
167,Hvidovre,selvvurderet_helbred,98.82,81.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
230,Rudersdal,selvvurderet_helbred,106.62,87.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
746,Skanderborg,selvvurderet_helbred,102.72,84.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
269,Solrød,selvvurderet_helbred,100.28,82.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
265,Roskilde,selvvurderet_helbred,101.01,82.9,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
240,Egedal,selvvurderet_helbred,104.06,85.4,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
151,Ballerup,selvvurderet_helbred,97.48,80.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
223,Hørsholm,selvvurderet_helbred,103.69,85.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
185,Tårnby,selvvurderet_helbred,98.33,80.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
157,Gentofte,selvvurderet_helbred,105.77,86.8,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
350,Lejre,selvvurderet_helbred,101.14,83.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
163,Herlev,selvvurderet_helbred,99.43,81.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
173,Lyngby-Taarbæk,selvvurderet_helbred,105.4,86.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
210,Fredensborg,selvvurderet_helbred,100.65,82.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
183,Ishøj,selvvurderet_helbred,95.16,78.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
710,Favrskov,selvvurderet_helbred,102.48,84.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
530,Billund,selvvurderet_helbred,98.45,80.8,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
840,Rebild,selvvurderet_helbred,102.48,84.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
187,Vallensbæk,selvvurderet_helbred,105.89,86.9,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
253,Greve,selvvurderet_helbred,99.8,81.9,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
147,Frederiksberg,selvvurderet_helbred,104.43,85.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
259,Køge,selvvurderet_helbred,97.72,80.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
159,Gladsaxe,selvvurderet_helbred,100.65,82.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
217,Helsingør,selvvurderet_helbred,99.06,81.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
250,Frederikssund,selvvurderet_helbred,96.14,78.9,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
661,Holstebro,selvvurderet_helbred,100.77,82.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
825,Læsø,selvvurderet_helbred,97.85,80.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
657,Herning,selvvurderet_helbred,100.77,82.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
260,Halsnæs,selvvurderet_helbred,92.85,76.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
