kommune_kode,indicator_id,aar,raw_value
340,alkohol,2021,13.4
340,alkohol,2025,13.8
350,alkohol,2010,24.4
350,alkohol,2013,22.1
350,alkohol,2017,17.6
350,alkohol,2021,16.2
350,alkohol,2025,15.3
360,alkohol,2010,21.0
360,alkohol,2013,18.8
360,alkohol,2017,17.6
360,alkohol,2021,14.9
360,alkohol,2025,15.9
370,alkohol,2010,21.5
370,alkohol,2013,18.2
370,alkohol,2017,16.2
370,alkohol,2021,16.0
370,alkohol,2025,11.2
376,alkohol,2010,25.8
376,alkohol,2013,18.3
376,alkohol,2017,16.4
376,alkohol,2021,15.5
376,alkohol,2025,13.0
390,alkohol,2010,24.1
390,alkohol,2013,21.2
390,alkohol,2017,18.7
390,alkohol,2021,16.9
390,alkohol,2025,14.3
400,alkohol,2010,20.8
400,alkohol,2013,17.8
400,alkohol,2017,17.2
400,alkohol,2021,14.6
400,alkohol,2025,14.4
410,alkohol,2010,21.4
410,alkohol,2013,19.2
410,alkohol,2017,18.0
410,alkohol,2021,13.6
410,alkohol,2025,16.7
420,alkohol,2010,21.5
420,alkohol,2013,19.7
420,alkohol,2017,16.7
420,alkohol,2021,15.3
420,alkohol,2025,15.0
430,alkohol,2010,22.6
430,alkohol,2013,21.1
430,alkohol,2017,17.3
430,alkohol,2021,13.9
430,alkohol,2025,17.3
440,alkohol,2010,24.1
440,alkohol,2013,22.0
440,alkohol,2017,18.8
440,alkohol,2021,15.3
440,alkohol,2025,15.7
450,alkohol,2010,22.8
450,alkohol,2013,19.4
450,alkohol,2017,16.8
450,alkohol,2021,16.1
450,alkohol,2025,15.2
461,alkohol,2010,23.3
461,alkohol,2013,22.8
461,alkohol,2017,17.9
461,alkohol,2021,14.5
461,alkohol,2025,15.1
479,alkohol,2010,25.8
479,alkohol,2013,23.3
479,alkohol,2017,19.7
479,alkohol,2021,17.9
479,alkohol,2025,17.3
480,alkohol,2010,23.2
480,alkohol,2013,21.5
480,alkohol,2017,16.8
480,alkohol,2021,15.8
480,alkohol,2025,14.0
482,alkohol,2010,22.9
482,alkohol,2013,22.2
482,alkohol,2017,17.8
482,alkohol,2021,18.0
482,alkohol,2025,19.3
492,alkohol,2010,27.9
492,alkohol,2013,26.1
492,alkohol,2017,25.5
