kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,low_income_ratio,vacant_housing_ratio,kultur_spending_ratio,civil_society_ratio,life_expectancy_raw,education_raw,disposable_income_raw,employment_raw,child_poverty_raw,gini_raw,low_income_raw,vacant_housing_raw,kultur_spending_raw,civil_society_raw,social_avg,ecological_avg,overall_avg
250,Frederikssund,99.75,88.36,98.9,103.49,107.5,116.55,122.58,165.05,70.1,109.46,81.4,83.94,284504.0,80.1,4.0,26.11,3.1,3.72,354.0,81.0,108.17,,108.17
661,Holstebro,100.12,89.54,93.6,103.1,107.5,113.84,115.15,80.47,184.75,93.24,81.7,85.06,269279.0,79.8,4.0,26.73,3.3,7.63,933.0,69.0,108.13,,108.13
657,Herning,100.25,88.96,94.96,102.58,110.26,114.79,102.7,80.9,149.11,131.08,81.8,84.51,273181.0,79.4,3.9,26.51,3.7,7.59,753.0,97.0,107.56,,107.56
773,Morsø,98.77,85.13,85.73,98.84,104.88,114.18,122.58,49.16,119.6,189.19,80.6,80.87,246623.0,76.5,4.1,26.65,3.1,12.49,604.0,140.0,106.81,,106.81
260,Halsnæs,98.77,82.35,93.2,99.74,100.0,124.66,115.15,145.5,84.16,124.32,80.6,78.23,268127.0,77.2,4.3,24.41,3.3,4.22,425.0,92.0,106.78,,106.78
492,Ærø,,88.31,81.73,95.35,81.13,112.79,108.57,20.47,96.04,270.27,,83.89,235120.0,73.8,5.3,26.98,3.5,30.0,485.0,200.0,106.07,,106.07
219,Hillerød,101.1,94.08,111.31,105.56,134.37,109.22,118.75,150.49,70.89,64.86,82.5,89.38,320229.0,81.7,3.2,27.86,3.2,4.08,358.0,48.0,106.06,,106.06
340,Sorø,99.02,86.94,96.09,100.39,93.48,120.95,118.75,120.16,76.63,145.95,80.8,82.59,276440.0,77.7,4.6,25.16,3.2,5.11,387.0,108.0,105.84,,105.84
561,Esbjerg,99.02,88.19,95.47,101.16,110.26,112.66,111.76,92.47,164.55,79.73,80.8,83.78,274660.0,78.3,3.9,27.01,3.4,6.64,831.0,59.0,105.53,,105.53
740,Silkeborg,101.23,93.55,100.65,103.75,138.71,113.38,140.74,129.26,86.73,41.89,82.6,88.87,289539.0,80.3,3.1,26.84,2.7,4.75,438.0,31.0,104.99,,104.99
563,Fanø,,92.51,96.53,103.49,126.47,115.53,152.0,80.47,71.68,97.3,,87.88,277700.0,80.1,3.4,26.34,2.5,7.63,362.0,72.0,104.0,,104.0
615,Horsens,99.88,89.39,94.21,101.42,113.16,119.47,105.56,115.85,139.01,60.81,81.5,84.92,271024.0,78.5,3.8,25.47,3.6,5.3,702.0,45.0,103.88,,103.88
316,Holbæk,99.51,85.67,96.59,101.29,110.26,119.61,118.75,124.8,104.36,75.68,81.2,81.39,277859.0,78.4,3.9,25.44,3.2,4.92,527.0,56.0,103.65,,103.65
607,Fredericia,99.51,86.23,93.43,97.93,66.15,114.79,77.55,114.13,191.88,93.24,81.2,81.92,268774.0,75.8,6.5,26.51,4.9,5.38,969.0,69.0,103.48,,103.48
766,Hedensted,100.74,87.72,96.13,105.94,130.3,123.8,152.0,105.68,26.34,105.41,82.2,83.33,276539.0,82.0,3.3,24.58,2.5,5.81,133.0,78.0,103.41,,103.41
410,Middelfart,100.25,89.86,99.37,103.36,113.16,111.1,131.03,101.15,52.67,131.08,81.8,85.37,285877.0,80.0,3.8,27.39,2.9,6.07,266.0,97.0,103.3,,103.3
851,Aalborg,99.39,93.6,92.79,97.8,97.73,106.44,90.48,94.46,170.5,79.73,81.1,88.92,266935.0,75.7,4.4,28.59,4.2,6.5,861.0,59.0,102.29,,102.29
370,Næstved,98.9,86.27,92.09,100.0,87.76,120.56,95.0,149.76,96.04,95.95,80.7,81.96,264921.0,77.4,4.9,25.24,4.0,4.1,485.0,71.0,102.23,,102.23
329,Ringsted,99.75,87.46,95.88,100.78,102.38,121.38,105.56,125.82,96.04,86.49,81.4,83.09,275838.0,78.0,4.2,25.07,3.6,4.88,485.0,64.0,102.15,,102.15
810,Brønderslev,99.14,89.38,88.85,100.78,93.48,115.57,108.57,70.17,62.38,189.19,80.9,84.91,255600.0,78.0,4.6,26.33,3.5,8.75,315.0,140.0,101.75,,101.75
751,Aarhus,100.98,95.82,97.88,95.99,86.0,91.03,82.61,165.05,89.7,110.81,82.4,91.03,281588.0,74.3,5.0,33.43,4.6,3.72,453.0,82.0,101.59,,101.59
727,Odder,102.33,92.25,96.57,102.2,143.33,123.2,140.74,126.34,32.28,55.41,83.5,87.64,277813.0,79.1,3.0,24.7,2.7,4.86,163.0,41.0,101.47,,101.47
813,Frederikshavn,98.9,83.96,89.99,97.55,79.63,115.31,100.0,40.16,94.06,210.81,80.7,79.76,258890.0,75.5,5.4,26.39,3.8,15.29,475.0,156.0,101.04,,101.04
336,Stevns,99.51,85.09,96.39,102.45,102.38,122.85,131.03,96.54,81.58,91.89,81.2,80.84,277295.0,79.3,4.2,24.77,2.9,6.36,412.0,68.0,100.97,,100.97
270,Gribskov,100.25,88.42,101.79,102.84,107.5,109.93,131.03,118.53,54.65,89.19,81.8,84.0,292834.0,79.6,4.0,27.68,2.9,5.18,276.0,66.0,100.41,,100.41
161,Glostrup,99.39,90.61,97.48,101.94,97.73,116.15,82.61,162.43,54.26,101.35,81.1,86.08,280422.0,78.9,4.4,26.2,4.6,3.78,274.0,75.0,100.4,,100.4
860,Hjørring,99.63,86.6,88.96,100.0,104.88,114.87,118.75,52.3,81.19,147.3,81.3,82.27,255917.0,77.4,4.1,26.49,3.2,11.74,410.0,109.0,99.45,,99.45
479,Svendborg,99.63,86.95,91.76,95.35,89.58,113.0,88.37,102.16,84.75,137.84,81.3,82.6,263984.0,73.8,4.8,26.93,4.3,6.01,428.0,102.0,98.94,,98.94
165,Albertslund,99.88,85.35,86.49,96.51,78.18,123.4,76.0,92.61,134.65,110.81,81.5,81.08,248808.0,74.7,5.5,24.66,5.0,6.63,680.0,82.0,98.39,,98.39
791,Viborg,100.49,88.71,93.16,100.52,107.5,116.72,108.57,88.09,95.05,81.08,82.0,84.27,268000.0,77.8,4.0,26.07,3.5,6.97,480.0,60.0,97.99,,97.99
706,Syddjurs,100.74,91.39,94.54,100.26,134.37,116.28,131.03,72.32,77.03,58.11,82.2,86.82,271971.0,77.6,3.2,26.17,2.9,8.49,389.0,43.0,97.61,,97.61
480,Nordfyns,99.51,85.59,87.62,98.58,107.5,122.7,118.75,84.11,72.87,98.65,81.2,81.31,252071.0,76.3,4.0,24.8,3.2,7.3,368.0,73.0,97.59,,97.59
440,Kerteminde,101.23,87.82,93.09,100.26,89.58,112.58,111.76,116.73,51.29,106.76,82.6,83.43,267813.0,77.6,4.8,27.03,3.4,5.26,259.0,79.0,97.11,,97.11
101,København,99.14,98.26,102.83,99.1,93.48,87.02,77.55,133.19,108.71,71.62,80.9,93.35,295836.0,76.7,4.6,34.97,4.9,4.61,549.0,53.0,97.09,,97.09
630,Vejle,100.49,90.07,101.25,103.1,95.56,109.54,105.56,97.93,109.7,56.76,82.0,85.57,291272.0,79.8,4.5,27.78,3.6,6.27,554.0,42.0,97.0,,97.0
760,Ringkøbing-Skjern,100.49,87.13,93.9,104.52,122.86,113.0,146.15,69.38,74.85,48.65,82.0,82.77,270125.0,80.9,3.5,26.93,2.6,8.85,378.0,36.0,96.09,,96.09
730,Randers,99.02,87.57,89.32,97.93,78.18,116.28,77.55,97.77,100.59,113.51,80.8,83.19,256955.0,75.8,5.5,26.17,4.9,6.28,508.0,84.0,95.77,,95.77
430,Faaborg-Midtfyn,100.0,88.6,88.38,98.97,116.22,128.02,126.67,89.77,75.84,43.24,81.6,84.17,254250.0,76.6,3.7,23.77,3.0,6.84,383.0,32.0,95.57,,95.57
320,Faxe,99.39,83.06,91.27,100.65,81.13,126.32,97.44,109.64,44.36,120.27,81.1,78.91,262570.0,77.9,5.3,24.09,3.9,5.6,224.0,89.0,95.35,,95.35
169,Høje-Taastrup,100.12,89.61,93.77,100.78,66.15,119.94,70.37,134.95,104.75,68.92,81.7,85.13,269751.0,78.0,6.5,25.37,5.4,4.55,529.0,51.0,94.94,,94.94
573,Varde,100.74,86.63,93.3,104.26,110.26,117.08,131.03,71.73,63.96,70.27,82.2,82.3,268401.0,80.7,3.9,25.99,2.9,8.56,323.0,52.0,94.93,,94.93
621,Kolding,100.49,89.75,95.66,101.29,95.56,111.67,95.0,92.05,139.41,28.38,82.0,85.26,275204.0,78.4,4.5,27.25,4.0,6.67,704.0,21.0,94.93,,94.93
580,Aabenraa,99.88,85.46,90.25,97.29,87.76,108.14,108.57,91.92,96.83,81.08,81.5,81.19,259641.0,75.3,4.9,28.14,3.5,6.68,489.0,60.0,94.72,,94.72
