kommune_kode,le_gender_gap_years,le_gender_gap_ratio,income_gender_gap_pct,income_gender_gap_ratio,employment_origin_gap_pct,employment_origin_gap_ratio,le_gender_gap_ref,income_gender_gap_ref,employment_origin_gap_ref
751,3.7,102.7,87.93,102.87,73.17,89.04,3.8,85.48,82.18
756,3.6,105.56,81.6,95.46,74.29,90.4,3.8,85.48,82.18
760,3.6,105.56,79.97,93.55,95.22,115.87,3.8,85.48,82.18
766,3.7,102.7,80.25,93.88,83.23,101.28,3.8,85.48,82.18
773,3.4,111.76,83.94,98.2,97.66,118.84,3.8,85.48,82.18
779,2.8,135.71,83.33,97.48,89.69,109.14,3.8,85.48,82.18
787,4.1,92.68,84.33,98.65,93.49,113.76,3.8,85.48,82.18
791,3.5,108.57,83.39,97.55,83.19,101.23,3.8,85.48,82.18
810,2.1,180.95,84.23,98.54,81.08,98.66,3.8,85.48,82.18
813,3.9,97.44,84.46,98.81,78.12,95.06,3.8,85.48,82.18
820,3.6,105.56,83.77,98.0,93.82,114.16,3.8,85.48,82.18
825,,,89.78,105.03,91.86,111.78,3.8,85.48,82.18
840,3.2,118.75,80.86,94.6,94.36,114.82,3.8,85.48,82.18
846,4.5,84.44,83.16,97.29,89.73,109.19,3.8,85.48,82.18
849,3.7,102.7,85.18,99.65,86.48,105.23,3.8,85.48,82.18
851,3.6,105.56,86.86,101.61,79.2,96.37,3.8,85.48,82.18
860,4.0,95.0,86.35,101.02,86.48,105.23,3.8,85.48,82.18
