kommune_kode,kommune,cba_2011_baseline,cba_2023_estimate,cba_estimate,estimat_aar,skaleringsfaktor,delta_pct,confidence_flag
185,Tårnby,15.71,11.29,11.35,2024,0.7226,-27.7,medium
187,Vallensbæk,16.09,11.56,11.63,2024,0.7226,-27.7,medium
573,Varde,14.88,10.69,10.75,2024,0.7226,-27.7,medium
575,Vejen,14.58,10.48,10.54,2024,0.7226,-27.7,medium
630,Vejle,15.6,11.21,11.27,2024,0.7226,-27.7,medium
820,Vesthimmerlands,16.6,11.93,12.0,2024,0.7226,-27.7,medium
791,Viborg,15.28,10.98,11.04,2024,0.7226,-27.7,medium
390,Vordingborg,15.94,11.45,11.52,2024,0.7226,-27.7,medium
492,Ærø,14.78,10.62,10.68,2024,0.7226,-27.7,medium
580,Aabenraa,14.68,10.55,10.61,2024,0.7226,-27.7,medium
851,Aalborg,16.96,12.19,12.26,2024,0.7226,-27.7,medium
751,Aarhus,14.89,10.7,10.76,2024,0.7226,-27.7,medium
