kommune_kode,kommune_navn,natur_pct,intensiv_pct,bebygget_pct,natur_ratio,intensiv_ratio,bebygget_ratio,areal_intensiv_ref,areal_bebygget_ref,antropiseret_pct,antropiseret_ratio,areal_antropiseret_ref
550,Tønder,17.7,65.7,8.0,169.49,120.11,56.34,54.7,14.2,77.07,109.49,70.39
561,Esbjerg,17.6,59.4,15.0,170.45,108.59,105.63,54.7,14.2,75.5,107.26,70.39
563,Fanø,81.9,4.3,11.4,36.63,7.86,80.28,54.7,14.2,16.13,22.92,70.39
573,Varde,33.1,50.6,10.2,90.63,92.5,71.83,54.7,14.2,62.53,88.83,70.39
575,Vejen,19.2,63.8,10.7,156.25,116.64,75.35,54.7,14.2,75.71,107.56,70.39
580,Aabenraa,20.6,61.7,11.5,145.63,112.8,80.99,54.7,14.2,75.4,107.12,70.39
607,Fredericia,21.4,37.4,31.8,140.19,68.37,223.94,54.7,14.2,70.22,99.76,70.39
615,Horsens,24.4,50.9,17.1,122.95,93.05,120.42,54.7,14.2,69.25,98.38,70.39
621,Kolding,18.3,58.0,16.0,163.93,106.03,112.68,54.7,14.2,75.44,107.17,70.39
630,Vejle,26.9,50.1,13.8,111.52,91.59,97.18,54.7,14.2,64.94,92.26,70.39
657,Herning,29.3,54.0,11.1,102.39,98.72,78.17,54.7,14.2,66.36,94.27,70.39
661,Holstebro,27.0,53.1,12.7,111.11,97.07,89.44,54.7,14.2,67.29,95.6,70.39
665,Lemvig,26.2,58.3,10.3,114.5,106.58,72.54,54.7,14.2,70.53,100.2,70.39
671,Struer,13.2,68.6,13.8,227.27,125.41,97.18,54.7,14.2,83.68,118.88,70.39
706,Syddjurs,31.4,46.7,13.3,95.54,85.37,93.66,54.7,14.2,61.22,86.97,70.39
707,Norddjurs,26.3,55.8,11.1,114.07,102.01,78.17,54.7,14.2,67.93,96.51,70.39
710,Favrskov,22.3,58.0,12.9,134.53,106.03,90.85,54.7,14.2,71.83,102.05,70.39
727,Odder,16.2,64.4,13.4,185.19,117.73,94.37,54.7,14.2,78.44,111.44,70.39
730,Randers,18.2,61.6,13.5,164.84,112.61,95.07,54.7,14.2,76.7,108.96,70.39
740,Silkeborg,38.1,40.0,14.3,78.74,73.13,100.7,54.7,14.2,55.29,78.55,70.39
741,Samsø,20.1,62.4,11.2,149.25,114.08,78.87,54.7,14.2,74.57,105.94,70.39
746,Skanderborg,27.1,47.0,16.4,110.7,85.92,115.49,54.7,14.2,64.24,91.26,70.39
751,Aarhus,14.7,41.9,32.9,204.08,76.6,231.69,54.7,14.2,76.02,108.0,70.39
756,Ikast-Brande,33.6,48.9,11.4,89.29,89.4,80.28,54.7,14.2,61.51,87.38,70.39
760,Ringkøbing-Skjern,27.6,56.9,9.9,108.7,104.02,69.72,54.7,14.2,68.37,97.13,70.39
766,Hedensted,17.9,61.1,14.2,167.6,111.7,100.0,54.7,14.2,76.0,107.97,70.39
773,Morsø,13.5,70.0,11.4,222.22,127.97,80.28,54.7,14.2,83.43,118.53,70.39
779,Skive,18.8,62.2,13.0,159.57,113.71,91.55,54.7,14.2,76.86,109.19,70.39
787,Thisted,39.2,47.0,9.7,76.53,85.92,68.31,54.7,14.2,58.13,82.58,70.39
791,Viborg,30.0,50.9,11.5,100.0,93.05,80.99,54.7,14.2,63.74,90.55,70.39
810,Brønderslev,18.4,63.4,10.9,163.04,115.9,76.76,54.7,14.2,75.45,107.19,70.39
813,Frederikshavn,36.2,41.7,14.0,82.87,76.23,98.59,54.7,14.2,56.52,80.3,70.39
820,Vesthimmerlands,20.3,62.7,10.8,147.78,114.63,76.06,54.7,14.2,75.12,106.72,70.39
825,Læsø,67.4,13.4,9.6,44.51,24.5,67.61,54.7,14.2,23.43,33.29,70.39
840,Rebild,24.4,59.3,10.1,122.95,108.41,71.13,54.7,14.2,70.52,100.18,70.39
846,Mariagerfjord,27.3,54.6,11.5,109.89,99.82,80.99,54.7,14.2,67.06,95.27,70.39
849,Jammerbugt,30.2,52.8,11.0,99.34,96.53,77.46,54.7,14.2,65.06,92.43,70.39
851,Aalborg,22.9,52.4,16.0,131.0,95.8,112.68,54.7,14.2,70.18,99.7,70.39
860,Hjørring,22.5,57.1,12.6,133.33,104.39,88.73,54.7,14.2,70.86,100.67,70.39
