kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,low_income_ratio,vacant_housing_ratio,kultur_spending_ratio,civil_society_ratio,ve_capacity_mw_ratio,life_expectancy_raw,education_raw,disposable_income_raw,employment_raw,child_poverty_raw,gini_raw,low_income_raw,vacant_housing_raw,kultur_spending_raw,civil_society_raw,ve_capacity_mw_raw,social_avg,ecological_avg,overall_avg
250,Frederikssund,99.75,73.38,98.9,103.49,107.5,116.55,122.58,165.96,73.62,104.05,,81.4,69.71,284504.0,80.1,4.0,26.11,3.1,3.79,346.0,77.0,0.0,106.58,,106.58
657,Herning,100.25,76.09,94.96,102.58,110.26,114.79,102.7,81.48,153.19,122.97,,81.8,72.29,273181.0,79.4,3.9,26.51,3.7,7.72,720.0,91.0,0.0,105.93,,105.93
187,Vallensbæk,101.84,65.76,103.78,105.17,89.58,113.97,84.44,222.26,55.11,110.81,,83.1,62.47,298557.0,81.4,4.8,26.7,4.5,2.83,259.0,82.0,0.0,105.27,,105.27
492,Ærø,,78.61,81.73,95.35,81.13,112.79,108.57,21.51,91.7,275.68,,,74.68,235120.0,73.8,5.3,26.98,3.5,29.24,431.0,204.0,0.0,105.23,,105.23
561,Esbjerg,99.02,74.33,95.47,101.16,110.26,112.66,111.76,95.16,173.83,78.38,,80.8,70.61,274660.0,78.3,3.9,27.01,3.4,6.61,817.0,58.0,0.0,105.2,,105.2
217,Helsingør,99.75,67.45,107.82,101.16,104.88,99.61,111.76,134.4,159.15,64.86,,81.4,64.08,310173.0,78.3,4.1,30.55,3.4,4.68,748.0,48.0,0.0,105.08,,105.08
773,Morsø,98.77,68.66,85.73,98.84,104.88,114.18,122.58,51.64,115.32,182.43,,80.6,65.23,246623.0,76.5,4.1,26.65,3.1,12.18,542.0,135.0,0.0,104.3,,104.3
329,Ringsted,99.75,72.75,95.88,100.78,102.38,121.38,105.56,155.69,99.36,86.49,,81.4,69.11,275838.0,78.0,4.2,25.07,3.6,4.04,467.0,64.0,0.0,104.0,,104.0
219,Hillerød,101.1,67.31,111.31,105.56,134.37,109.22,118.75,157.25,70.0,59.46,,82.5,63.94,320229.0,81.7,3.2,27.86,3.2,4.0,329.0,44.0,0.0,103.43,,103.43
316,Holbæk,99.51,72.2,96.59,101.29,110.26,119.61,118.75,127.07,110.85,74.32,,81.2,68.59,277859.0,78.4,3.9,25.44,3.2,4.95,521.0,55.0,0.0,103.05,,103.05
260,Halsnæs,98.77,71.98,93.2,99.74,100.0,124.66,115.15,145.94,78.3,102.7,,80.6,68.38,268127.0,77.2,4.3,24.41,3.3,4.31,368.0,76.0,0.0,103.04,,103.04
607,Fredericia,99.51,72.09,93.43,97.93,66.15,114.79,77.55,107.34,211.28,87.84,,81.2,68.49,268774.0,75.8,6.5,26.51,4.9,5.86,993.0,65.0,0.0,102.79,,102.79
766,Hedensted,100.74,76.02,96.13,105.94,130.3,123.8,152.0,107.34,28.94,104.05,,82.2,72.22,276539.0,82.0,3.3,24.58,2.5,5.86,136.0,77.0,0.0,102.53,,102.53
825,Læsø,,70.18,83.62,97.67,165.38,119.76,152.0,17.64,85.53,128.38,,,66.67,240554.0,75.6,2.6,25.41,2.5,35.65,402.0,95.0,0.0,102.24,,102.24
340,Sorø,99.02,68.49,96.09,100.39,93.48,120.95,118.75,117.57,69.57,137.84,,80.8,65.07,276440.0,77.7,4.6,25.16,3.2,5.35,327.0,102.0,0.0,102.22,,102.22
740,Silkeborg,101.23,70.84,100.65,103.75,138.71,113.38,140.74,118.01,86.6,43.24,,82.6,67.3,289539.0,80.3,3.1,26.84,2.7,5.33,407.0,32.0,0.0,101.72,,101.72
410,Middelfart,100.25,73.56,99.37,103.36,113.16,111.1,131.03,109.39,52.55,113.51,,81.8,69.88,285877.0,80.0,3.8,27.39,2.9,5.75,247.0,84.0,0.0,100.73,,100.73
370,Næstved,98.9,73.82,92.09,100.0,87.76,120.56,95.0,146.62,97.66,94.59,,80.7,70.13,264921.0,77.4,4.9,25.24,4.0,4.29,459.0,70.0,0.0,100.7,,100.7
336,Stevns,99.51,71.48,96.39,102.45,102.38,122.85,131.03,100.8,90.64,89.19,,81.2,67.91,277295.0,79.3,4.2,24.77,2.9,6.24,426.0,66.0,0.0,100.67,,100.67
615,Horsens,99.88,72.41,94.21,101.42,113.16,119.47,105.56,103.62,132.77,56.76,,81.5,68.79,271024.0,78.5,3.8,25.47,3.6,6.07,624.0,42.0,0.0,99.93,,99.93
727,Odder,102.33,72.13,96.57,102.2,143.33,123.2,140.74,126.81,38.72,50.0,,83.5,68.52,277813.0,79.1,3.0,24.7,2.7,4.96,182.0,37.0,0.0,99.6,,99.6
813,Frederikshavn,98.9,76.22,89.99,97.55,79.63,115.31,100.0,41.3,97.02,198.65,,80.7,72.41,258890.0,75.5,5.4,26.39,3.8,15.23,456.0,147.0,0.0,99.46,,99.46
270,Gribskov,100.25,71.36,101.79,102.84,107.5,109.93,131.03,121.9,54.89,91.89,,81.8,67.79,292834.0,79.6,4.0,27.68,2.9,5.16,258.0,68.0,0.0,99.34,,99.34
851,Aalborg,99.39,64.28,92.79,97.8,97.73,106.44,90.48,93.46,167.66,79.73,,81.1,61.07,266935.0,75.7,4.4,28.59,4.2,6.73,788.0,59.0,0.0,98.98,,98.98
760,Ringkøbing-Skjern,100.49,74.62,93.9,104.52,122.86,113.0,146.15,73.74,104.26,50.0,,82.0,70.89,270125.0,80.9,3.5,26.93,2.6,8.53,490.0,37.0,0.0,98.35,,98.35
563,Fanø,,58.73,96.53,103.49,126.47,115.53,152.0,81.27,53.62,97.3,,,55.79,277700.0,80.1,3.4,26.34,2.5,7.74,252.0,72.0,0.0,98.33,,98.33
810,Brønderslev,99.14,73.86,88.85,100.78,93.48,115.57,108.57,76.99,57.02,168.92,,80.9,70.17,255600.0,78.0,4.6,26.33,3.5,8.17,268.0,125.0,0.0,98.32,,98.32
479,Svendborg,99.63,73.2,91.76,95.35,89.58,113.0,88.37,103.28,91.49,132.43,,81.3,69.54,263984.0,73.8,4.8,26.93,4.3,6.09,430.0,98.0,0.0,97.81,,97.81
787,Thisted,98.9,70.62,87.92,100.65,102.38,115.18,115.15,54.41,90.85,141.89,,80.7,67.09,252934.0,77.9,4.2,26.42,3.3,11.56,427.0,105.0,0.0,97.8,,97.8
480,Nordfyns,99.51,72.92,87.62,98.58,107.5,122.7,118.75,90.24,72.34,105.41,,81.2,69.27,252071.0,76.3,4.0,24.8,3.2,6.97,340.0,78.0,0.0,97.56,,97.56
161,Glostrup,99.39,66.86,97.48,101.94,97.73,116.15,82.61,148.0,59.36,105.41,,81.1,63.52,280422.0,78.9,4.4,26.2,4.6,4.25,279.0,78.0,0.0,97.49,,97.49
860,Hjørring,99.63,74.58,88.96,100.0,104.88,114.87,118.75,55.32,75.32,136.49,,81.3,70.85,255917.0,77.4,4.1,26.49,3.2,11.37,354.0,101.0,0.0,96.88,,96.88
791,Viborg,100.49,71.71,93.16,100.52,107.5,116.72,108.57,84.32,107.02,77.03,,82.0,68.12,268000.0,77.8,4.0,26.07,3.5,7.46,503.0,57.0,0.0,96.7,,96.7
440,Kerteminde,101.23,72.83,93.09,100.26,89.58,112.58,111.76,113.13,50.64,117.57,,82.6,69.19,267813.0,77.6,4.8,27.03,3.4,5.56,238.0,87.0,0.0,96.27,,96.27
706,Syddjurs,100.74,69.97,94.54,100.26,134.37,116.28,131.03,72.97,77.45,59.46,,82.2,66.47,271971.0,77.6,3.2,26.17,2.9,8.62,364.0,44.0,0.0,95.71,,95.71
430,Faaborg-Midtfyn,100.0,76.15,88.38,98.97,116.22,128.02,126.67,86.05,76.17,54.05,,81.6,72.34,254250.0,76.6,3.7,23.77,3.0,7.31,358.0,40.0,0.0,95.07,,95.07
573,Varde,100.74,76.17,93.3,104.26,110.26,117.08,131.03,73.83,57.23,83.78,,82.2,72.36,268401.0,80.7,3.9,25.99,2.9,8.52,269.0,62.0,0.0,94.77,,94.77
751,Aarhus,100.98,58.34,97.88,95.99,86.0,91.03,82.61,148.7,70.0,113.51,,82.4,55.42,281588.0,74.3,5.0,33.43,4.6,4.23,329.0,84.0,0.0,94.5,,94.5
165,Albertslund,99.88,64.03,86.49,96.51,78.18,123.4,76.0,66.0,142.34,106.76,,81.5,60.83,248808.0,74.7,5.5,24.66,5.0,9.53,669.0,79.0,0.0,93.96,,93.96
730,Randers,99.02,73.96,89.32,97.93,78.18,116.28,77.55,94.73,112.13,97.3,,80.8,70.26,256955.0,75.8,5.5,26.17,4.9,6.64,527.0,72.0,0.0,93.64,,93.64
101,København,99.14,49.63,102.83,99.1,93.48,87.02,77.55,136.15,111.06,78.38,,80.9,47.15,295836.0,76.7,4.6,34.97,4.9,4.62,522.0,58.0,0.0,93.43,,93.43
320,Faxe,99.39,71.66,91.27,100.65,81.13,126.32,97.44,109.58,42.98,113.51,,81.1,68.08,262570.0,77.9,5.3,24.09,3.9,5.74,202.0,84.0,0.0,93.39,,93.39
420,Assens,99.02,73.32,87.87,98.58,95.56,124.41,115.15,86.4,97.87,55.41,,80.8,69.65,252783.0,76.3,4.5,24.46,3.3,7.28,460.0,41.0,0.0,93.36,,93.36
846,Mariagerfjord,99.75,71.73,91.15,99.61,93.48,117.13,105.56,68.97,109.57,71.62,,81.4,68.14,262216.0,77.1,4.6,25.98,3.6,9.12,515.0,53.0,0.0,92.86,,92.86
621,Kolding,100.49,70.79,95.66,101.29,95.56,111.67,95.0,91.03,138.51,28.38,,82.0,67.25,275204.0,78.4,4.5,27.25,4.0,6.91,651.0,21.0,0.0,92.84,,92.84
756,Ikast-Brande,100.12,73.59,92.39,99.48,113.16,113.16,108.57,97.52,43.62,86.49,,81.7,69.91,265794.0,77.0,3.8,26.89,3.5,6.45,205.0,64.0,0.0,92.81,,92.81
580,Aabenraa,99.88,72.54,90.25,97.29,87.76,108.14,108.57,96.47,84.04,74.32,,81.5,68.91,259641.0,75.3,4.9,28.14,3.5,6.52,395.0,55.0,0.0,91.93,,91.93
630,Vejle,100.49,68.79,101.25,103.1,95.56,109.54,105.56,110.16,68.3,50.0,,82.0,65.35,291272.0,79.8,4.5,27.78,3.6,5.71,321.0,37.0,0.0,91.27,,91.27
450,Nyborg,99.63,69.39,89.14,95.87,81.13,121.72,102.7,103.97,82.34,64.86,,81.3,65.92,256450.0,74.2,5.3,25.0,3.7,6.05,387.0,48.0,0.0,91.08,,91.08
400,Bornholm,99.14,74.56,84.44,96.25,93.48,126.63,126.67,54.04,100.85,51.35,,80.9,70.83,242923.0,74.5,4.6,24.03,3.0,11.64,474.0,38.0,0.0,90.74,,90.74
461,Odense,99.88,65.74,89.66,94.57,70.49,107.45,74.51,106.25,152.98,44.59,,81.5,62.45,257928.0,73.2,6.1,28.32,5.1,5.92,719.0,33.0,0.0,90.61,,90.61
779,Skive,99.88,73.67,89.99,100.78,91.49,114.83,115.15,64.65,79.15,75.68,,81.5,69.99,258877.0,78.0,4.7,26.5,3.3,9.73,372.0,56.0,0.0,90.53,,90.53
169,Høje-Taastrup,100.12,65.48,93.77,100.78,66.15,119.94,70.37,114.99,114.89,58.11,,81.7,62.21,269751.0,78.0,6.5,25.37,5.4,5.47,540.0,43.0,0.0,90.46,,90.46
540,Sønderborg,100.12,70.65,88.89,95.87,71.67,110.9,95.0,90.24,96.6,83.78,,81.7,67.12,255717.0,74.2,6.0,27.44,4.0,6.97,454.0,62.0,0.0,90.37,,90.37
510,Haderslev,100.0,71.24,87.26,98.71,69.35,116.15,90.48,81.06,129.36,54.05,,81.6,67.68,251031.0,76.4,6.2,26.2,4.2,7.76,608.0,40.0,0.0,89.77,,89.77
820,Vesthimmerlands,99.14,72.13,88.02,99.61,93.48,115.27,111.76,55.03,48.51,108.11,,80.9,68.52,253230.0,77.1,4.6,26.4,3.4,11.43,228.0,80.0,0.0,89.11,,89.11
575,Vejen,100.25,74.47,125.5,104.01,122.86,65.7,126.67,96.47,33.83,39.19,,81.8,70.75,361047.0,80.5,3.5,46.32,3.0,6.52,159.0,29.0,0.0,88.9,,88.9
707,Norddjurs,99.14,75.93,86.73,97.03,86.0,120.09,102.7,68.22,81.7,64.86,,80.9,72.13,249494.0,75.1,5.0,25.34,3.7,9.22,384.0,48.0,0.0,88.24,,88.24
671,Struer,99.26,70.97,88.53,98.84,82.69,112.33,111.76,61.01,102.98,48.65,,81.0,67.42,254689.0,76.5,5.2,27.09,3.4,10.31,484.0,36.0,0.0,87.7,,87.7
306,Odsherred,98.53,67.0,86.99,95.35,72.88,120.85,100.0,69.12,85.11,79.73,,80.4,63.65,250261.0,73.8,5.9,25.18,3.8,9.1,400.0,59.0,0.0,87.56,,87.56
665,Lemvig,99.75,74.86,94.96,102.2,100.0,101.81,135.71,42.76,69.36,45.95,,81.4,71.12,273175.0,79.1,4.3,29.89,2.8,14.71,326.0,34.0,0.0,86.74,,86.74
326,Kalundborg,98.41,66.24,94.87,97.42,71.67,113.12,102.7,88.47,64.47,64.86,,80.3,62.93,272926.0,75.4,6.0,26.9,3.7,7.11,303.0,48.0,0.0,86.22,,86.22
330,Slagelse,98.65,68.59,89.38,97.03,62.32,119.85,76.0,92.77,85.53,71.62,,80.5,65.16,257137.0,75.1,6.9,25.39,5.0,6.78,402.0,53.0,0.0,86.17,,86.17
376,Guldborgsund,97.3,69.39,85.55,95.22,59.72,118.68,77.55,61.49,105.74,87.84,,79.4,65.92,246113.0,73.7,7.2,25.64,4.9,10.23,497.0,65.0,0.0,85.85,,85.85
849,Jammerbugt,99.63,72.77,88.48,100.13,93.48,118.17,108.57,51.14,57.23,50.0,,81.3,69.13,254538.0,77.5,4.6,25.75,3.5,12.3,269.0,37.0,0.0,83.96,,83.96
550,Tønder,98.77,73.73,86.61,97.55,71.67,106.36,88.37,48.87,76.6,82.43,,80.6,70.04,249158.0,75.5,6.0,28.61,4.3,12.87,360.0,61.0,0.0,83.1,,83.1
390,Vordingborg,97.92,69.67,88.27,96.51,69.35,117.76,90.48,57.23,86.17,52.7,,79.9,66.19,253932.0,74.7,6.2,25.84,4.2,10.99,405.0,39.0,0.0,82.61,,82.61
360,Lolland,96.32,66.32,81.84,89.41,60.56,115.05,82.61,42.19,93.4,87.84,,78.6,63.0,235450.0,69.2,7.1,26.45,4.6,14.91,439.0,65.0,0.0,81.55,,81.55
741,Samsø,,73.15,86.5,100.9,97.73,115.27,105.56,17.81,24.47,48.65,,,69.49,248849.0,78.1,4.4,26.4,3.6,35.32,115.0,36.0,0.0,74.45,,74.45
482,Langeland,99.26,70.24,79.65,91.73,58.11,120.42,95.0,23.48,64.26,31.08,,81.0,66.73,229128.0,71.0,7.4,25.27,4.0,26.79,302.0,23.0,0.0,73.32,,73.32
